[2023-05-08 18:01:32,343] INFO [Broker id=0] Leader test9-2 with topic id Some(bqr2lwobSt24FpgwRa8Wpg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,354] INFO [Broker id=0] Leader mytopic-0 with topic id Some(qLy8T9ZoR7iN76QYiYCsVg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,363] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,372] INFO [Broker id=0] Leader partitioned-5 with topic id Some(A-PaCxxkRKuy0MVqtLUARw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,382] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,393] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,404] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,414] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,423] INFO [Broker id=0] Leader test11-2 with topic id Some(jZNkrWUORwOf6pLL_TEw7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,433] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,443] INFO [Broker id=0] Leader test10-2 with topic id Some(tLMLSe08SamccAimsiU-YQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,455] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,466] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,476] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,487] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,497] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,506] INFO [Broker id=0] Leader test11-1 with topic id Some(jZNkrWUORwOf6pLL_TEw7Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,517] INFO [Broker id=0] Leader test10-1 with topic id Some(tLMLSe08SamccAimsiU-YQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,527] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,537] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,545] INFO [Broker id=0] Leader second_topics-2 with topic id Some(DXv0aY5KTb66PBhYqmyWAA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-05-08 18:01:32,555] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(pJziOg7XSeuyZoXnynkf0A) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
